MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
428.54,6.1,1,6,8,69.16,257.96,1,32,4.0
498.63,4.67,4,6,11,108.24,300.08,0,34,5.537602002
288.26,2.15,3,6,1,96.22,173.53,0,21,8.0
329.32,1.7,3,7,4,122.25,198.26,0,24,5.039529222
412.5,4.65,3,5,3,105.38,248.31,0,31,6.823908741
562.11,6.92,2,7,11,99.51,338.1,2,40,6.54515514
463.17,5.94,3,4,4,79.62,277.7,1,27,6.698970004
363.85,4.84,3,4,4,79.62,218.75,0,26,3.713992878
481.56,4.35,2,7,6,88.49,289.89,0,36,7.341988603
555.73,5.37,4,7,13,109.41,334.54,2,41,7.0
515.62,3.35,0,9,8,88.85,310.4,1,38,8.010016542
441.58,5.48,1,6,6,54.69,265.81,1,33,7.721246399
460.54,4.67,1,9,8,97.89,277.24,0,34,7.029978734
466.85,4.13,2,6,8,87.58,280.78,0,32,9.0
480.37,4.68,2,6,7,90.28,288.61,0,31,6.102372909
557.42,4.01,3,7,11,108.48,335.01,1,36,7.795880017
351.43,3.48,0,5,3,54.26,211.51,0,25,5.369572125
293.33,2.53,2,6,2,98.3,176.59,0,22,7.13667714
568.44,6.2,3,9,8,132.48,341.6,2,38,7.301029996
356.39,3.89,3,5,5,95.59,214.54,0,27,5.958607315
269.3,3.31,0,5,3,51.39,162.12,0,20,7.809668302
524.6,4.15,3,9,9,121.51,315.73,1,36,4.974284616
353.37,2.54,3,8,5,109.23,212.74,0,26,7.301029996
408.48,3.05,2,3,4,68.44,245.9,0,30,8.397940009
439.56,4.92,1,6,7,69.2,264.6,0,33,5.397940009
283.74,2.17,1,4,3,71.95,170.49,0,18,5.0
350.24,3.6,2,5,4,58.04,210.23,0,20,7.080921908
618.11,8.57,3,6,10,102.16,371.81,2,45,7.823908741
498.9,4.75,3,8,9,114.83,300.07,0,35,7.0
295.35,1.92,3,6,2,88.99,177.8,0,22,8.22184875
476.58,3.54,2,9,10,97.56,286.9,0,35,8.840132153
473.46,4.11,1,8,7,85.53,285.04,0,34,8.360015752
429.69,4.47,1,6,4,65.5,258.52,0,30,6.0
479.96,4.84,2,6,7,95.7,288.65,0,34,7.756961951
752.85,6.3,2,11,12,134.06,453.17,3,54,7.0
472.93,3.87,1,9,8,87.2,284.43,0,33,8.397940009
291.35,4.42,0,3,4,31.35,175.38,0,22,4.698970004
509.05,5.09,0,8,9,68.54,306.17,2,36,7.470056598
505.88,6.22,2,6,6,90.3,304.28,2,35,5.0
433.47,3.84,1,8,8,100.39,260.95,0,32,8.0
627.75,7.21,3,9,12,103.88,377.89,2,47,8.22184875
459.55,3.8,1,6,6,84.78,276.64,0,34,7.48148606
531.54,5.56,5,5,10,145.44,320.0,2,39,8.397940009
