SMILES	MolWt	LogP	HBD	HBA	RotatableBonds	TPSA	Volume	LipinskiViolations	NumAtoms
CCCCc1ccc(Nc2nnc3cc(-c4cc(OC)cc(OC)c4)cc(C)c3n2)cc1	428.54	6.1	1	6	8	69.16	257.96	1	32
CONC(=O)CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NOC)[nH]c2ccccc12	498.63	4.67	4	6	11	108.24	300.08	0	34
COc1cc(O)c2c(c1)-c1cc(O)c(O)cc1COC2=O	288.26	2.15	3	6	1	96.22	173.53	0	21
COc1cccc(-c2nc3c(O)nc(NC(C)=O)nc3[nH]2)c1OC	329.32	1.7	3	7	4	122.25	198.26	0	24
Cc1nc2cc(-n3ncc(C(=O)c4cc5cc(C(C)(C)C)ccc5[nH]4)c3N)ccc2[nH]1	412.5	4.65	3	5	3	105.38	248.31	0	31
CCOc1cc2ncc(C#N)c(Nc3ccc(OCC4CCCCC4)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C	562.11	6.92	2	7	11	99.51	338.1	2	40
Nc1nc(Nc2cccc(Br)c2)c2cc(Cc3ccc(Cl)cc3Cl)[nH]c2n1	463.17	5.94	3	4	4	79.62	277.7	1	27
Cc1ccccc1Cc1cc2c(Nc3ccc(Cl)cc3)nc(N)nc2[nH]1	363.85	4.84	3	4	4	79.62	218.75	0	26
COC(=O)c1ccc2c(c1)NC(=O)/C2=C(\Nc1ccc2c(c1)nc(CN(C)C)n2C)c1ccccc1	481.56	4.35	2	7	6	88.49	289.89	0	36
C[C@@H](Nc1ncnc2[nH]c(-c3ccc(CN4CCN(CCCCCCC(=O)NO)CC4)cc3)cc12)c1ccccc1	555.73	5.37	4	7	13	109.41	334.54	2	41
COc1cc(OC)cc(N(CCN2CCN(C(C)=O)CC2)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	515.62	3.35	0	9	8	88.85	310.4	1	38
Cc1cccc(C)c1Nc1ncc(-c2cccc(OCC3CCCN(C)C3)c2)n2cncc12	441.58	5.48	1	6	6	54.69	265.81	1	33
COc1cc(OC)cc(N(C/C(=N/O)C(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	460.54	4.67	1	9	8	97.89	277.24	0	34
CN(CCO)c1ncc(C(=O)Nc2ccc(OC(F)(F)Cl)cc2)cc1-c1cncc(F)c1	466.85	4.13	2	6	8	87.58	280.78	0	32
COc1cc2ncc(C#N)c(Nc3cccc(Br)c3)c2cc1NC(=O)/C=C/CN(C)C	480.37	4.68	2	6	7	90.28	288.61	0	31
C=CC(=O)Nc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCNC(=O)/C=C/CN(C)C	557.42	4.01	3	7	11	108.48	335.01	1	36
COc1ccc(C2CC(c3ccccc3)=NN2C2=NC(=O)CS2)cc1	351.43	3.48	0	5	3	54.26	211.51	0	25
CC(C)n1nc(-c2ccc3[nH]ncc3c2)c2c(N)ncnc21	293.33	2.53	2	6	2	98.3	176.59	0	22
COc1cc2c(Nc3ccc(Cl)c(Cl)c3)ncnc2cc1OCc1nc(-c2ccc(O)c(C(N)=O)c2)cs1	568.44	6.2	3	9	8	132.48	341.6	2	38
C=CC(=O)Nc1cccc(-c2nc(Nc3cc[nH]n3)c3ccccc3n2)c1	356.39	3.89	3	5	5	95.59	214.54	0	27
COc1ccc(N(C)c2ncnc3occ(C)c23)cc1	269.3	3.31	0	5	3	51.39	162.12	0	20
O=S(=O)(NCCCNc1nccc(-c2c(-c3cccc(O)c3)nc3sccn23)n1)c1cccc(F)c1	524.6	4.15	3	9	9	121.51	315.73	1	36
C[C@H](Nc1nc(Nc2cn(C)cn2)c2cc[nH]c2n1)c1ncc(F)cn1	353.37	2.54	3	8	5	109.23	212.74	0	26
Cc1c(/C=C2\C(=O)Nc3ccc(F)cc32)[nH]c2c1C(=O)N(CCN1CCCC1)CC2	408.48	3.05	2	3	4	68.44	245.9	0	30
Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1	439.56	4.92	1	6	7	69.2	264.6	0	33
CS(=O)(=O)Nc1cc(-c2ccncc2)cnc1Cl	283.74	2.17	1	4	3	71.95	170.49	0	18
OCC(Nc1ncnc2sc(Br)cc12)c1ccccc1	350.24	3.6	2	5	4	58.04	210.23	0	20
Nc1ccccc1NC(=O)CCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)cc1	618.11	8.57	3	6	10	102.16	371.81	2	45
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCOc1ccc(C(=O)NO)cc1	498.9	4.75	3	8	9	114.83	300.07	0	35
Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNC1	295.35	1.92	3	6	2	88.99	177.8	0	22
COc1cc(OC)cc(N(CC(O)CNC(C)C)c2ccc3ncc(-c4cnn(C)c4)nc3c2)c1	476.58	3.54	2	9	10	97.56	286.9	0	35
